,Random (baseline),Greedy (baseline),Deep Q Learning,Simple Actor Critic,Advanced Actor Critic
Random (baseline),38,1,17,35,21
Greedy (baseline),100,41,96,100,100
Deep Q Learning,33,1,0,0,0
Simple Actor Critic,24,0,0,0,0
Advanced Actor Critic,37,0,0,0,0
