,Random (baseline),Greedy (baseline),Deep Q Learning,Simple Actor Critic,Advanced Actor Critic
Random (baseline),25,0,18,64,50
Greedy (baseline),0,0,0,0,0
Deep Q Learning,35,0,0,100,100
Simple Actor Critic,44,0,100,100,100
Advanced Actor Critic,29,0,100,100,100
